Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,77.339996,77.339996,76.599998,76.599998,76.412407,57364
2023-11-27,76.599998,77.699997,76.389999,77.120003,76.931137,77746
2023-11-28,77.120003,77.720001,76.870003,77.589996,77.399979,42361
2023-11-29,78.269997,78.589996,76.970001,77.279999,77.090744,104919
2023-11-30,77.980003,78.410004,77.050003,77.169998,76.981010,74255
2023-12-01,77.010002,77.839996,75.599998,75.849998,75.664246,117728
2023-12-04,75.839996,76.449997,74.470001,76.449997,76.262772,98765
2023-12-05,75.699997,77.110001,75.580002,76.269997,76.083214,71302
2023-12-06,76.559998,76.620003,75.199997,75.199997,75.015831,163364
2023-12-07,74.779999,75.930000,74.699997,75.599998,75.414856,67622
2023-12-08,75.599998,77.000000,75.419998,77.000000,76.811424,82053
2023-12-11,76.650002,76.699997,75.680000,76.150002,75.963509,109739
2023-12-12,76.300003,77.330002,76.199997,77.169998,76.981010,111547
2023-12-13,77.500000,78.099998,76.139999,76.260002,76.073250,162118
2023-12-14,76.260002,76.709999,74.430000,74.699997,74.517059,287510
2023-12-15,75.300003,76.500000,75.059998,76.430000,76.242821,181330
2023-12-18,75.669998,76.629997,75.669998,76.330002,76.143066,114392
2023-12-19,75.849998,75.930000,75.019997,75.849998,75.664246,150585
2023-12-20,75.540001,76.660004,75.349998,76.349998,76.163017,131448
2023-12-21,75.879997,76.080002,75.260002,76.000000,75.813873,88126
2023-12-22,75.800003,76.050003,75.500000,75.769997,75.584442,161772
2023-12-26,75.910004,76.010002,75.070000,75.160004,74.975937,108716
2023-12-27,75.470001,75.529999,75.040001,75.040001,74.856232,55712
2023-12-28,75.709999,76.269997,75.449997,75.699997,75.514610,213626
2024-01-02,75.830002,76.519997,74.739998,75.900002,75.714127,108238
2024-01-03,75.620003,76.459999,75.260002,75.709999,75.524590,90517
2024-01-04,75.720001,76.480003,75.040001,75.040001,74.856232,181099
2024-01-05,75.449997,75.550003,74.570000,75.029999,74.846252,181532
2024-01-08,75.400002,76.160004,75.080002,75.750000,75.564491,80713
2024-01-09,75.940002,76.809998,75.650002,76.610001,76.422386,217939
2024-01-10,77.000000,78.290001,76.510002,77.839996,77.649368,116279
2024-01-11,78.199997,79.110001,77.389999,77.820000,77.629417,86222
2024-01-12,77.860001,78.690002,77.610001,78.199997,78.008484,39827
2024-01-15,78.779999,79.440002,78.099998,79.440002,79.245453,35292
2024-01-16,79.839996,80.550003,79.599998,80.129997,79.933762,140964
2024-01-17,80.000000,80.309998,79.309998,79.930000,79.734253,147831
2024-01-18,80.260002,81.000000,80.260002,80.970001,80.771713,83789
2024-01-19,81.160004,81.809998,80.919998,81.809998,81.609642,118478
2024-01-22,82.059998,82.739998,81.279999,82.120003,81.918892,147923
2024-01-23,82.120003,82.389999,81.690002,82.199997,81.998695,52871
2024-01-24,82.690002,83.139999,82.000000,82.400002,82.198204,77817
2024-01-25,83.190002,83.500000,82.570000,83.279999,83.076050,54918
2024-01-26,83.050003,83.150002,82.339996,82.389999,82.188232,170962
2024-01-29,83.019997,84.449997,83.019997,84.169998,83.963867,70423
2024-01-30,85.129997,85.459999,83.169998,83.169998,82.966316,142104
2024-01-31,83.739998,85.199997,82.129997,82.419998,82.218155,165751
2024-02-01,82.800003,83.809998,82.470001,82.989998,82.786758,143292
2024-02-02,83.389999,85.400002,83.290001,85.230003,85.021278,123844
2024-02-05,85.500000,85.690002,83.959999,84.599998,84.392815,77239
2024-02-06,84.000000,84.540001,83.269997,84.000000,83.794289,44228
2024-02-07,84.129997,86.000000,84.029999,86.000000,85.789391,129937
2024-02-08,86.000000,86.750000,85.559998,85.930000,85.719566,126601
2024-02-09,86.550003,86.980003,85.919998,86.959999,86.747040,74185
2024-02-14,84.000000,84.779999,83.809998,84.750000,84.646507,52093
2024-02-15,85.709999,85.709999,83.730003,84.000000,83.897423,88560
2024-02-16,84.510002,84.690002,83.489998,83.489998,83.388039,111676
2024-02-19,83.879997,85.010002,83.519997,84.440002,84.336884,34732
2024-02-20,83.199997,83.410004,81.019997,82.889999,82.788773,206629
2024-02-21,82.150002,82.720001,81.529999,82.349998,82.249435,74620
2024-02-22,84.089996,85.410004,84.089996,85.410004,85.305702,93777
2024-02-23,85.410004,86.339996,84.910004,85.150002,85.046021,82401
2024-02-26,85.150002,85.589996,84.309998,84.309998,84.207039,76472
2024-02-27,84.320000,84.410004,83.099998,83.930000,83.827507,204039
2024-02-28,84.010002,84.529999,83.760002,84.239998,84.137123,78404
2024-02-29,84.400002,85.300003,84.199997,85.300003,85.195839,44300
2024-03-01,85.370003,85.959999,84.940002,85.940002,85.835052,96099
2024-03-04,86.029999,86.029999,85.000000,85.599998,85.495468,233592
2024-03-05,85.410004,85.410004,82.699997,83.000000,82.898643,92147
2024-03-06,83.500000,83.650002,81.940002,82.599998,82.499130,67892
2024-03-07,83.010002,84.190002,82.760002,83.589996,83.487915,84637
2024-03-08,83.790001,85.080002,83.790001,84.500000,84.396812,236935
2024-03-11,84.150002,84.150002,83.199997,83.800003,83.697670,51822
2024-03-12,84.150002,86.800003,84.150002,86.110001,86.004845,170319
2024-03-13,86.680000,86.959999,85.500000,86.120003,86.014832,86046
2024-03-14,86.500000,88.879997,86.339996,88.699997,88.591675,146557
2024-03-15,88.870003,89.040001,85.949997,86.449997,86.344429,297882
2024-03-18,85.849998,87.910004,85.760002,87.370003,87.263306,1082685
2024-03-19,87.400002,88.360001,87.040001,88.199997,88.092285,65163
2024-03-20,88.000000,88.470001,87.730003,88.290001,88.182182,93965
2024-03-21,88.800003,89.410004,88.680000,89.300003,89.190948,51344
2024-03-22,89.300003,89.540001,88.570000,89.400002,89.290825,47668
2024-03-25,88.849998,88.980003,87.489998,87.629997,87.522987,40228
2024-03-26,88.040001,88.400002,87.599998,87.599998,87.493027,70101
2024-03-27,87.849998,88.239998,86.930000,87.699997,87.592903,113962
2024-03-28,88.000000,88.099998,87.269997,87.650002,87.542969,84426
2024-04-01,88.680000,89.849998,88.589996,89.500000,89.390701,103632
2024-04-02,88.800003,89.080002,87.820000,88.830002,88.721527,94299
2024-04-03,89.000000,89.559998,88.269997,88.370003,88.262085,64548
2024-04-04,89.050003,89.529999,88.059998,88.269997,88.162201,129969
2024-04-05,88.470001,89.970001,88.000000,89.949997,89.840149,85069
2024-04-08,89.970001,89.970001,88.699997,89.260002,89.151001,58581
2024-04-09,89.099998,89.239998,88.019997,89.059998,88.951241,127841
